@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
3899,'2019/09/24 11:29:39:584',44,503.046692,271.517426,14.557308,576.002441,250.291016,29.475697,624.545166,255.648148,32.453476,686.822266,248.490631,31.364599,728.434143,253.255371,27.184553,1
3900,'2019/09/24 11:29:39:633',44,502.044373,258.598145,15.227955,577.258667,235.887299,29.824461,625.449219,240.552246,32.791664,687.112122,235.044647,31.66087,728.416992,239.881622,27.465364,1
3901,'2019/09/24 11:29:39:683',44,499.617767,243.807251,16.057125,575.88623,219.228729,30.4077,623.918762,223.135712,33.349766,684.598511,218.82785,32.285782,725.735107,224.014709,28.096411,1
3902,'2019/09/24 11:29:39:734',44,495.212708,230.837891,16.803551,571.821411,206.074249,31.093346,619.309692,209.589386,34.090626,679.467529,205.879028,33.099495,720.811768,210.99469,28.943165,1
3903,'2019/09/24 11:29:39:784',44,490.034546,216.624237,17.412956,566.337402,191.208008,31.533745,612.465576,193.519897,34.634266,672.45282,189.810028,33.806129,713.286377,196.052185,29.764164,1
3904,'2019/09/24 11:29:39:832',44,486.269226,206.080566,18.133339,563.03009,180.630249,32.045776,608.718506,182.124268,35.139732,668.258545,178.591583,34.330566,709.083984,184.785187,30.295076,1
3905,'2019/09/24 11:29:39:885',44,485.520966,193.737091,19.09461,562.913452,167.049469,32.433884,608.123596,167.124634,35.491222,667.623169,162.851257,34.678726,707.912842,169.793243,30.650799,1
3906,'2019/09/24 11:29:39:933',44,484.395386,180.700867,19.853848,561.201538,155.173309,32.923645,605.383789,154.909546,35.964127,665.09082,150.016022,35.346832,705.535278,157.181824,31.357103,1
3907,'2019/09/24 11:29:39:983',44,484.058228,169.87674,20.380589,560.561157,146.004791,33.263142,604.148315,145.227203,36.336739,663.034485,141.453094,35.873798,704.560913,147.929321,31.888399,1
3908,'2019/09/24 11:29:40:035',44,484.557312,159.340363,20.684347,559.352295,136.471191,33.424881,602.542542,135.898346,36.534771,660.467651,133.418335,36.270008,703.335876,139.249542,32.25182,1
3909,'2019/09/24 11:29:40:084',44,487.791809,149.227264,21.142921,560.552612,126.944824,33.523445,603.620056,126.325287,36.657764,661.046021,123.536743,36.489758,704.655396,129.392975,32.349266,1
3910,'2019/09/24 11:29:40:133',44,492.884033,140.072906,21.737598,562.604553,119.152222,33.855881,605.978333,117.294495,36.930962,663.161072,113.486755,36.928391,707.040161,119.615509,32.66449,1
3911,'2019/09/24 11:29:40:184',44,498.511108,132.016205,22.159592,565.499695,113.372925,34.072994,609.166809,111.301208,37.097095,666.117371,106.815338,37.194012,709.929565,112.798065,32.821556,1
