@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
77,'2019/09/24 12:26:01:050',2,539.827515,132.466858,18.983238,600.757874,91.655029,31.005423,651.683655,87.250031,33.298615,700.904785,77.108704,30.861975,746.261047,85.947052,26.053146,1
78,'2019/09/24 12:26:01:097',2,539.387817,129.230652,18.948006,600.069458,87.681641,30.842712,650.818909,83.671417,33.166252,700.120178,73.874054,30.768326,745.982056,82.928711,26.005983,1
79,'2019/09/24 12:26:01:147',2,541.266663,123.608307,18.95628,602.160217,82.103271,30.799444,652.85083,78.08316,33.117149,701.925781,68.542877,30.732021,747.651978,78.094757,26.012487,1
80,'2019/09/24 12:26:01:195',2,543.829163,118.805878,18.699005,604.571411,77.905853,30.521229,654.951172,74.475372,32.863297,703.794067,65.619507,30.55164,749.680054,75.462463,25.865389,1
81,'2019/09/24 12:26:01:246',2,546.020691,116.792511,18.844801,607.426636,75.463867,30.462545,657.884705,71.684906,32.708626,706.045837,63.275726,30.32317,751.923706,72.950165,25.57173,1
82,'2019/09/24 12:26:01:296',2,548.682556,115.541748,19.119045,610.585693,74.167297,30.536629,661.54657,68.208038,32.657303,707.677612,61.754547,30.2589,754.533569,70.455292,25.397728,1
83,'2019/09/24 12:26:01:347',2,551.473877,112.57019,19.214031,613.871338,70.960052,30.459949,665.582458,63.103363,32.469154,710.135559,59.123871,30.091125,757.398804,67.406616,25.170597,1
84,'2019/09/24 12:26:01:398',2,552.78949,111.012573,19.210941,615.432617,68.994904,30.381687,666.864868,61.555878,32.353989,711.391785,57.526642,29.92004,758.638123,65.793335,24.985949,1
85,'2019/09/24 12:26:01:446',2,554.097534,109.161469,19.134607,616.702881,66.383575,30.200193,665.73822,61.487091,32.213814,712.060425,54.682922,29.651382,759.566406,63.283783,24.721062,1
86,'2019/09/24 12:26:01:496',2,554.914917,108.652374,19.118904,617.55127,65.079132,30.081167,666.209106,58.828644,32.023041,712.724121,52.514984,29.411053,759.956787,61.848145,24.522104,1
87,'2019/09/24 12:26:01:549',2,555.65094,108.722992,19.026363,617.76123,64.700562,30.020987,666.117188,58.956238,31.968149,713.142334,51.247406,29.299404,760.0448,61.021332,24.425898,1
88,'2019/09/24 12:26:01:599',2,559.187073,110.10672,18.501673,620.491882,67.053925,29.865501,667.917847,62.388611,31.825943,715.604126,51.943268,29.122684,762.10083,61.179962,24.132088,1
89,'2019/09/24 12:26:01:649',2,562.891052,112.507477,18.365339,624.418579,68.564301,29.531803,671.291748,64.150299,31.482571,719.191895,54.377899,28.79845,766.158264,63.647827,23.840839,1
90,'2019/09/24 12:26:01:698',2,569.311157,125.157684,17.462166,626.533203,84.648468,29.833918,674.911987,78.582245,31.967316,722.280029,67.087646,29.625082,768.98938,75.986542,24.629318,1
91,'2019/09/24 12:26:01:747',2,573.621948,137.043732,18.041056,631.415344,95.138916,30.133577,681.266846,89.058624,32.194073,728.280518,76.788177,29.750765,774.155029,87.409546,24.874821,1
92,'2019/09/24 12:26:01:798',2,577.623901,145.431915,18.525064,639.237061,106.093201,30.834425,690.320557,99.903809,32.80896,736.178101,92.229218,30.517958,782.196899,98.878876,25.301855,1
93,'2019/09/24 12:26:01:848',2,582.8927,156.705933,19.242365,645.999023,118.477203,31.718483,698.080933,112.998962,33.719017,744.17041,106.015778,31.436344,789.34314,114.06488,26.223869,1
94,'2019/09/24 12:26:01:899',2,585.90271,170.092072,19.811531,650.953491,132.500519,32.326225,703.900269,127.366119,34.278389,748.731323,123.365173,31.959299,794.116455,129.049072,26.69586,1
95,'2019/09/24 12:26:01:948',2,590.634277,180.626434,19.513527,653.977051,146.102753,32.745934,706.437012,142.039063,34.917,752.450684,136.414825,32.774994,798.030029,142.366577,27.56918,1
96,'2019/09/24 12:26:01:998',2,590.415527,192.436981,19.92754,654.468262,158.521484,33.299534,707.506592,155.902374,35.579182,754.36377,150.209564,33.531158,799.582397,157.422729,28.417379,1
97,'2019/09/24 12:26:02:053',2,591.667236,210.585968,20.422176,655.663757,176.013214,33.93898,709.76123,172.10379,36.16048,755.530151,166.447876,34.065674,799.809082,173.223602,28.863852,1
98,'2019/09/24 12:26:02:100',2,590.894897,220.762726,20.284233,652.89856,187.488037,34.033112,707.309814,183.588135,36.444767,753.782104,178.547791,34.506016,798.160767,185.90564,29.424513,1
99,'2019/09/24 12:26:02:150',2,589.233154,233.054718,20.613041,651.39209,201.06897,34.409161,707.064453,197.469971,36.778336,753.202759,192.765625,34.846901,796.432007,199.709351,29.723364,1
100,'2019/09/24 12:26:02:198',2,587.583435,240.045166,20.652876,649.862061,209.462952,34.322708,704.9328,207.386932,36.707344,751.751587,203.112183,34.903736,794.695435,209.579163,29.850082,1
101,'2019/09/24 12:26:02:248',2,584.372498,250.834412,20.516518,646.188965,222.112976,34.312351,701.485229,219.219421,36.784264,748.557495,215.237518,35.017944,790.765381,221.800171,29.901686,1
102,'2019/09/24 12:26:02:297',2,579.669434,260.148712,20.661583,642.539185,231.940186,34.203262,698.193848,229.223907,36.712978,745.064331,226.427917,34.922577,786.867737,233.353149,29.778091,1
103,'2019/09/24 12:26:02:350',2,573.911926,272.838745,20.875952,635.448242,244.591827,34.239639,691.150391,242.248352,36.909286,737.866211,239.772308,35.263214,780.140381,246.504105,30.220512,1
104,'2019/09/24 12:26:02:398',2,571.265991,280.970276,21.272629,632.056274,253.259323,34.248596,686.764099,252.007202,36.908386,733.837036,248.610107,35.457726,776.637512,254.351837,30.488373,1
105,'2019/09/24 12:26:02:448',2,567.397034,287.03833,21.851814,628.192627,263.891235,34.381748,681.258301,264.063843,37.03434,729.317627,259.602356,35.805569,772.197021,264.511963,30.852514,1
106,'2019/09/24 12:26:02:501',2,564.749756,293.015076,22.311943,626.63678,272.356689,34.167084,678.390381,271.603455,36.881016,727.63501,267.96405,35.665199,769.653992,273.108063,30.720682,1
107,'2019/09/24 12:26:02:550',2,562.34375,301.560547,22.840422,624.48877,285.970856,34.613472,674.572693,285.992462,37.349701,724.464233,282.524292,36.237965,766.405762,286.494263,31.236446,1
108,'2019/09/24 12:26:02:601',2,560.860962,315.123993,23.683987,622.473389,302.387634,35.370747,670.510803,303.172668,38.048271,721.313416,298.651215,37.108532,763.225952,301.374664,32.12236,1
109,'2019/09/24 12:26:02:651',2,558.15564,329.702972,25.045267,623.770874,322.810059,36.199909,669.927368,324.44104,38.616798,721.72937,318.672455,37.755043,762.017578,319.833374,32.57402,1
110,'2019/09/24 12:26:02:701',2,559.308533,343.267975,25.88163,626.1427,338.491943,36.941998,671.252319,341.13678,39.142715,723.280945,334.340149,38.430706,763.622437,334.274323,33.231659,1
111,'2019/09/24 12:26:02:750',2,560.158691,345.30365,25.7208,626.541626,341.919067,36.686195,670.310913,345.211304,38.84465,722.301575,338.370361,38.256729,763.302124,337.742859,33.180847,1
112,'2019/09/24 12:26:02:799',2,562.430847,357.404846,25.665632,633.22229,364.424835,35.799309,678.126465,367.396545,38.080162,729.000244,360.770508,37.28368,767.784424,356.514709,31.931973,1
113,'2019/09/24 12:26:02:851',2,576.073059,342.438202,21.610573,611.543457,358.225098,28.467993,642.509705,369.389954,35.068802,702.738098,366.563965,36.88459,771.266724,367.245422,32.087292,1
114,'2019/09/24 12:26:02:900',2,623.379822,336.959167,21.443378,641.953857,352.537231,33.931511,670.582153,366.642365,38.051064,715.537354,368.470459,34.678764,769.058044,369.866272,31.334602,1
115,'2019/09/24 12:26:02:949',2,615.404785,342.524353,22.849989,648.169312,372.690674,37.655937,676.587158,379.173096,39.755363,730.68512,374.704224,33.242859,773.411865,371.319336,31.237703,1
116,'2019/09/24 12:26:03:000',2,614.50647,349.995941,22.758112,643.422852,381.634735,37.305309,675.764526,387.714966,39.429623,730.458496,381.632019,32.987617,771.245117,379.024658,30.861244,1
117,'2019/09/24 12:26:03:052',2,614.52356,363.486023,23.100435,627.535583,396.276581,37.45256,669.543884,401.309631,40.045219,728.125488,391.386963,34.282204,767.46167,388.345642,32.337021,1
118,'2019/09/24 12:26:03:102',2,609.775757,373.797668,23.34247,620.274414,402.25531,38.269627,666.068359,406.626801,40.990112,721.867676,395.264587,35.063484,761.171692,387.028229,34.486298,1
119,'2019/09/24 12:26:03:150',2,607.008301,375.829712,23.509724,617.027222,403.855347,38.262131,670.786865,410.264862,40.589531,718.609314,397.702759,35.658806,759.349304,387.803345,34.357018,1
120,'2019/09/24 12:26:03:200',2,599.109863,377.571106,24.107536,607.102539,404.84967,38.79874,664.168213,411.831696,41.228844,709.88623,404.858032,37.340191,748.848267,390.301819,34.833813,1
121,'2019/09/24 12:26:03:249',2,596.93927,376.171387,24.329033,606.866699,403.904968,38.855389,664.279541,411.204559,41.206966,712.054688,405.744171,37.461811,745.243958,392.27298,34.059132,1
122,'2019/09/24 12:26:03:300',2,592.774963,372.123047,25.018826,603.064453,401.540863,39.18195,658.368896,410.249817,40.80162,709.610107,405.661713,37.98576,741.118042,395.99408,33.456718,1
123,'2019/09/24 12:26:03:353',2,590.671143,368.940186,25.049782,599.637695,399.061157,38.683041,654.692627,406.671539,40.769424,705.564575,401.85257,38.654957,739.127136,395.44281,33.453415,1
124,'2019/09/24 12:26:03:402',2,592.466431,359.48175,25.220491,586.162842,390.442444,38.465958,645.59137,398.433289,41.504482,692.377319,394.789185,40.223106,732.363159,392.847076,34.649429,1
125,'2019/09/24 12:26:03:450',2,570.545166,374.995789,25.684862,582.512756,384.911652,41.244568,644.340454,389.857513,44.172928,689.670837,383.961365,42.67432,734.783325,382.902557,37.002186,1
126,'2019/09/24 12:26:03:500',2,545.972229,378.429749,27.276461,581.065552,375.644073,43.308868,644.348206,378.409119,45.84993,691.032593,372.355713,43.826481,733.775146,374.436584,37.621407,1
127,'2019/09/24 12:26:03:551',2,536.430542,379.092224,29.485388,580.718628,366.75592,45.568977,640.385681,369.633636,48.024815,689.267395,364.303772,45.744602,731.089111,367.673157,39.48259,1
